"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Coquerel's sifaka (Propithecus coquereli)","1-to-1 View Gene Tree","VNN1  (ENSPCOG00000027321) Compare Regions (KQ030170.1:2,647,984-2,664,020:-1) View Sequence Alignments","85.02 %","85.19 %","100","100.00","Yes"
"Eastern brown snake (Pseudonaja textilis)","1-to-many View Gene Tree","ENSPTXG00000009785 Compare Regions (ULFR01000029.1:7,089,516-7,105,155:-1) View Sequence Alignments","61.72 %","55.95 %","100","58.34","Yes"
"Megabat (Pteropus vampyrus)","1-to-1 View Gene Tree","VNN1  (ENSPVAG00000010105) Compare Regions (scaffold_13462:7,533-27,358:-1) View Sequence Alignments","80.55 %","79.92 %","0","100.00","Yes"
"Norway rat - BN/NHsdMcwi (Rattus norvegicus)","1-to-1 View Gene Tree","Vnn1  (ENSRNOG00000016219) Compare Regions (1:23,356,330-23,366,629:-1) View Sequence Alignments","75.98 %","75.83 %","100","0.00","Yes"
"Greater horseshoe bat (Rhinolophus ferrumequinum)","1-to-1 View Gene Tree","VNN1  (ENSRFEG00010003067) Compare Regions (3:79,768,946-79,862,733:-1) View Sequence Alignments","75.14 %","80.70 %","100","97.40","Yes"
"Black snub-nosed monkey (Rhinopithecus bieti)","1-to-1 View Gene Tree","VNN1  (ENSRBIG00000036270) Compare Regions (MCGX01004167.1:344,168-382,552:-1) View Sequence Alignments","94.54 %","94.54 %","100","100.00","Yes"
"Golden snub-nosed monkey (Rhinopithecus roxellana)","1-to-1 View Gene Tree","VNN1  (ENSRROG00000043084) Compare Regions (KN300086.1:1,130,612-1,164,832:1) View Sequence Alignments","94.35 %","94.35 %","100","100.00","Yes"
"Bolivian squirrel monkey (Saimiri boliviensis boliviensis)","1-to-1 View Gene Tree","VNN1  (ENSSBOG00000029070) Compare Regions (JH378154.1:12,093,063-12,124,294:-1) View Sequence Alignments","88.72 %","88.89 %","100","100.00","Yes"
"Atlantic salmon (Salmo salar)","1-to-many View Gene Tree","ENSSSAG00000122168 Compare Regions (27:24,398,104-24,434,558:1) View Sequence Alignments","37.02 %","13.06 %","0","n/a","No"
"Argentine black and white tegu (Salvator merianae)","1-to-many View Gene Tree","ENSSMRG00000002275 Compare Regions (QVOM01000003.1:39,020,327-39,040,109:1) View Sequence Alignments","61.59 %","59.06 %","100","62.48","Yes"
"Tasmanian devil (Sarcophilus harrisii)","1-to-1 View Gene Tree","VNN1  (ENSSHAG00000007527) Compare Regions (4:163,275,155-163,305,673:1) View Sequence Alignments","57.89 %","57.89 %","100","78.82","Yes"
"Eurasian red squirrel (Sciurus vulgaris)","1-to-1 View Gene Tree","VNN1  (ENSSVLG00005010391) Compare Regions (7:32,791,040-32,808,305:1) View Sequence Alignments","78.75 %","78.75 %","100","100.00","Yes"
"Common canary (Serinus canaria)","Many-to-many View Gene Tree","ENSSCAG00000010940 Compare Regions (HG009240.1:837,408-842,945:-1) View Sequence Alignments","63.78 %","61.79 %","100","0.94","Yes"
"Common canary (Serinus canaria)","Many-to-many View Gene Tree","ENSSCAG00000010948 Compare Regions (HG009240.1:852,492-861,895:-1) View Sequence Alignments","65.11 %","62.57 %","100","91.63","Yes"
"Shrew (Sorex araneus)","1-to-1 View Gene Tree","ENSSARG00000005525 Compare Regions (GeneScaffold_1863:4,042-45,891:-1) View Sequence Alignments","47.82 %","46.98 %","0","85.42","No"
"Tuatara (Sphenodon punctatus)","1-to-many View Gene Tree","ENSSPUG00000006962 Compare Regions (QEPC01003823.1:7,488-40,830:1) View Sequence Alignments","63.74 %","63.74 %","50","94.55","Yes"
"Kakapo (Strigops habroptila)","Many-to-many View Gene Tree","ENSSHBG00005013779 Compare Regions (7:4,608,854-4,616,432:1) View Sequence Alignments","64.99 %","55.36 %","100","35.32","Yes"
"Kakapo (Strigops habroptila)","Many-to-many View Gene Tree","ENSSHBG00005013799 Compare Regions (7:4,618,256-4,640,165:1) View Sequence Alignments","64.89 %","64.13 %","100","56.26","Yes"
"Kakapo (Strigops habroptila)","Many-to-many View Gene Tree","ENSSHBG00005013839 Compare Regions (7:4,633,688-4,636,562:1) View Sequence Alignments","65.89 %","38.40 %","100","2.93","Yes"
"African ostrich (Struthio camelus australis)","1-to-many View Gene Tree","ENSSCUG00000014070 Compare Regions (KL206996.1:2,608,879-2,661,914:-1) View Sequence Alignments","57.01 %","61.79 %","100","57.17","Yes"
"Pig (Sus scrofa)","1-to-1 View Gene Tree","VNN1  (ENSSSCG00000004181) Compare Regions (1:31,000,255-31,024,505:1) View Sequence Alignments","78.91 %","78.75 %","75","100.00","Yes"
"Zebra finch (Taeniopygia guttata)","Many-to-many View Gene Tree","ENSTGUG00000011583 Compare Regions (3:55,455,353-55,479,753:-1) View Sequence Alignments","67.00 %","64.91 %","100","73.77","Yes"
"Zebra finch (Taeniopygia guttata)","Many-to-many View Gene Tree","ENSTGUG00000020160 Compare Regions (3:55,483,039-55,486,513:-1) View Sequence Alignments","50.20 %","23.98 %","100","24.07","No"
"Three-toed box turtle (Terrapene carolina triunguis)","Many-to-many View Gene Tree","ENSTMTG00000001995 Compare Regions (PRFB02000086.1:52,528,432-52,529,216:1) View Sequence Alignments","46.28 %","10.92 %","50","0.00","No"
"Three-toed box turtle (Terrapene carolina triunguis)","Many-to-many View Gene Tree","ENSTMTG00000002026 Compare Regions (PRFB02000086.1:52,605,542-52,637,847:1) View Sequence Alignments","67.55 %","64.52 %","75","85.26","Yes"
"Tree Shrew (Tupaia belangeri)","1-to-1 View Gene Tree","VNN1  (ENSTBEG00000009763) Compare Regions (GeneScaffold_3063:91,112-133,234:-1) View Sequence Alignments","73.81 %","72.51 %","25","91.81","Yes"
"Dolphin (Tursiops truncatus)","1-to-1 View Gene Tree","VNN1  (ENSTTRG00000000603) Compare Regions (GeneScaffold_1817:39,274-56,458:-1) View Sequence Alignments","81.25 %","81.09 %","50","100.00","Yes"
"Arctic ground squirrel (Urocitellus parryii)","1-to-1 View Gene Tree","VNN1  (ENSUPAG00010018680) Compare Regions (QVIC01000021.1:1,011,528-1,036,245:1) View Sequence Alignments","79.14 %","79.14 %","100","100.00","Yes"
"American black bear (Ursus americanus)","1-to-1 View Gene Tree","VNN1  (ENSUAMG00000012478) Compare Regions (LZNR01019813.1:4,258-16,266:1) View Sequence Alignments","71.43 %","67.25 %","0","88.76","Yes"
"Polar bear (Ursus maritimus)","1-to-1 View Gene Tree","VNN1  (ENSUMAG00000024418) Compare Regions (KK498596.1:6,895,961-6,915,208:1) View Sequence Alignments","82.61 %","74.07 %","100","100.00","Yes"
"Alpaca (Vicugna pacos)","1-to-1 View Gene Tree","VNN1  (ENSVPAG00000005114) Compare Regions (scaffold_3465:62,745-79,799:-1) View Sequence Alignments","66.86 %","66.86 %","50","90.21","Yes"
"Common wombat (Vombatus ursinus)","1-to-1 View Gene Tree","VNN1  (ENSVURG00010005426) Compare Regions (UNPS02009132.1:17,255,024-17,273,128:1) View Sequence Alignments","60.75 %","60.04 %","100","78.75","Yes"
"Red fox (Vulpes vulpes)","1-to-1 View Gene Tree","VNN1  (ENSVVUG00000019008) Compare Regions (NBDQ01000027.1:138,800-164,396:-1) View Sequence Alignments","79.77 %","79.92 %","75","100.00","Yes"
"Tropical clawed frog (Xenopus tropicalis)","1-to-many View Gene Tree","vnn2  (ENSXETG00000039983) Compare Regions (5:70,509,012-70,559,542:-1) View Sequence Alignments","60.88 %","59.45 %","100","n/a","Yes"
